codigo,descricao,preco
1010,Pulseira de Ouro com Pedras,3000.00
1011,Colar de Prata com Pingente,450.00
1012,Anel de Noivado com Diamante,5200.00
1013,Brincos de Pérola,380.00
1014,Alianças de Ouro Amarelo,2100.00
1015,Pulseira de Couro com Prata,280.00
1016,Gargantilha de Ouro,1750.00
1017,Anel de Prata com Ônix,320.00
1018,Brincos de Argola em Ouro 18k,890.00
1019,Pingente de Ouro com Foto,620.001020,bola de aço,500.0
1020,Pingente de leão cravejado,500.0
1021,pingente de borboleta,500.0
1022,pingente de onça,500.0
1023,pingente de caveira,500.0
1024,pingente de diamante,1000.0
1025,anel de caveira,39.99
1030,Leite em pó,20.0
